"Step","iTypeC","fCtr_A","fCtr_B","fCtr_C","fCtr_D","fCtr_E","fCtr_H_On","fCtr_S_On","fCtr_L_On","fCtr_H_Off","fCtr_S_Off","fCtr_L_Off","iTypeS","fStrb_A","fStrb_B","fStrb_C","fStrb_D","fStrb_E","lPattern","fStrb_H_On","fStrb_S_On","fStrb_L_On","fStrb_H_Off","fStrb_S_Off","fStrb_L_Off","lSeqTime","Total time","Tot Sec","Hours","Minutes","Seconds"
1,2.00,0.20,0.20,0.30,0.02,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,2.00,2.00,0.10,0.10,0.00,0.00,0.10,0.15,0.00,0.10,0.15,0.00,10000.00,"0:23:20",1400,0,23,20
2,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,2.00,2.00,0.10,0.10,0.00,16973945.00,0.10,0.15,0.00,0.10,0.15,0.00,60000.00,,,,,
3,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,2.00,2.00,0.10,0.10,0.00,16973945.00,0.10,0.15,0.25,0.10,0.15,0.00,120000.00,,,,,
4,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,3.00,3.00,0.10,0.10,0.00,16973945.00,0.10,0.15,0.25,0.10,0.15,0.00,120000.00,,,,,
5,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,4.00,4.00,0.10,0.10,0.00,16973945.00,0.10,0.15,0.25,0.10,0.15,0.00,120000.00,,,,,
6,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,8.00,8.00,0.45,0.45,0.00,0.00,0.10,0.15,0.25,0.10,0.15,0.00,120000.00,,,,,
7,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,4.00,4.00,0.10,0.10,0.00,16973945.00,0.10,0.15,0.25,0.10,0.15,0.00,120000.00,,,,,
8,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,3.00,3.00,0.10,0.10,0.00,16973945.00,0.10,0.15,0.25,0.10,0.15,0.00,120000.00,,,,,
9,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,2.00,2.00,0.10,0.10,0.00,16973945.00,0.10,0.15,0.25,0.10,0.15,0.00,120000.00,,,,,
10,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,8.75,8.75,0.45,0.45,0.00,0.00,0.10,0.15,0.25,0.10,0.15,0.00,120000.00,,,,,
11,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,4.75,4.75,0.10,0.10,0.00,16973945.00,0.10,0.15,0.25,0.10,0.15,0.00,20000.00,,,,,
12,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.16,9.16,0.65,0.65,0.00,0.00,0.10,0.15,0.25,0.10,0.15,0.00,20000.00,,,,,
13,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,5.20,5.20,0.10,0.10,0.00,16973945.00,0.10,0.15,0.25,0.10,0.15,0.00,20000.00,,,,,
14,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,11.12,11.12,0.45,0.45,0.00,0.00,0.10,0.15,0.25,0.10,0.15,0.00,20000.00,,,,,
15,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,5.20,5.20,0.10,0.10,0.00,16973945.00,0.10,0.15,0.25,0.10,0.15,0.00,120000.00,,,,,
16,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,11.12,11.12,0.45,0.45,0.00,0.00,0.10,0.15,0.10,0.10,0.15,0.00,120000.00,,,,,
17,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,11.12,11.12,0.45,0.45,0.00,0.00,0.10,0.15,0.05,0.10,0.15,0.00,10000.00,,,,,
18,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,11.12,11.12,0.45,0.45,0.00,0.00,0.10,0.15,0.01,0.10,0.15,0.00,10000.00,,,,,
19,2.00,0.05,0.05,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,4.00,4.00,0.10,0.10,0.00,0.00,0.10,0.15,0.00,0.10,0.15,0.00,20000.00,,,,,
20,2.00,0.05,0.05,0.30,0.02,0.00,0.60,1.00,0.01,0.60,1.00,0.01,2.00,4.00,4.00,0.10,0.10,0.00,0.00,0.10,0.15,0.00,0.10,0.15,0.00,10000.00,,,,,
